word,count
草,348
哈哈哈,249
 ,201
哈哈哈哈,106
混血,86
广西,80
混,69
北京,49
老表,42
伤心,38
草草,30
上海,28
中国,24
泪目,22
笑,21
变态,21
害怕,20
酱,18
死,18
说,18
镜子,16
村,16
模型,16
路过,16
可爱,15
yu,15
日语,13
破防,13
印度尼西亚,12
自立,12
江苏,11
声音,10
马,10
好家伙,10
狂喜,10
开幕,10
狗头,9
送,9
男孩,9
喜欢,9
2333,8
四川,8
发现,8
话,8
日本,8
命题,8
这是,8
hhh,7
耶,7
两个,7
真,7
夏哥,7
老哥,7
隔壁,7
东北,7
中文,7
kimo,7
广东,7
山东,7
符合,7
远,7
lsp,7
い,7
up,6
离谱,6
屑,6
太,6
队友,6
中,6
口音,6
姿势,6
奇怪,6
游戏,6
广州,6
男人,6
雷击,6
弹幕,5
表情,5
躺,5
算,5
国家,5
听,5
doge,5
holo,5
祭丝,5
皮,5
挺,5
对面,5
鬼,5
做,5
国内,5
诶,5
河南,5
确实,5
女人,5
你好,5
河北,5
浙江,5
好听,5
啊啊啊,5
