word,count
快快,2013
 ,875
好好,486
一把,362
抓住,337
乐,287
收到,263
歪歪,187
卧槽,171
乐乐,143
嘉然,142
可爱,113
贝拉,109
然然,108
乃琳,93
向晚,91
嘉门,86
珈,80
爱,79
生日快乐,75
拉姐,74
捏,73
拉,65
卡,64
阿草,57
不像,57
狂,54
晚,53
反转,53
我超,51
跳,47
晚晚,45
哈哈哈,43
爹,43
烧,42
草,41
时代,41
指导,40
紧张,39
住,36
风情,33
蚌埠,32
好听,32
歪,32
米诺,31
走,30
银屯,30
太,29
绷,29
不住,29
woc,29
大脑,29
牵引,29
鸟巢,28
死,28
期待,28
真的,27
手,27
老婆,27
疯狂,27
经典,26
担当,26
巨龙,26
重量级,26
着迷,26
踢,25
笑,25
冷静,25
回应,25
急,25
弹幕,24
更是,24
时刻,24
这位,23
沸腾,23
小拉,22
SOUL,22
溜,21
地方,21
梦,21
声音,20
ok,20
泥哥,20
逃离,19
荷尔蒙,18
陷阱,18
请,18
加油,17
不算,17
呜呜,17
龙,17
欧内,16
一站,16
狂暴,16
有没有,16
啊啊啊,16
尬,16
狗,15
每日,15
喜欢,15
