word,count
 ,10184
爱哥,5728
哈哈哈,3901
吸吸,1931
哈哈哈哈,1767
草,1063
泪目,696
游戏,653
可爱,651
耶,622
超帅,611
爱,605
喜欢,520
铁头,477
啊啊啊,460
危,445
笑,441
玩,420
死,407
真,403
awsl,387
吃,383
这是,368
想,342
好家伙,330
AI,328
说,318
太,316
doge,304
甜,295
没事,289
失败,286
挑战,273
棒,258
咸,247
热乎,243
好听,240
好好,227
跑,224
走,224
少儿,222
阿巴,220
频道,218
酱,214
真的,212
小姐姐,209
直播,208
拜拜,205
好看,203
感觉,200
￣,198
吸,197
完,190
闭嘴,190
买,187
ai,186
眼神,185
c,184
加油,182
憨,182
盖亚,181
C,181
不愧,175
菜哥,174
前方,167
贴,164
聪明,159
恐怖,159
下次,157
队友,156
呜呜,155
 ,154
塔塔开,154
¿,152
卧槽,151
bgm,149
lsp,147
真实,146
做,144
高能,143
骂,143
芜湖,143
动,142
真棒,142
害怕,142
视频,140
点,138
狂喜,138
人机,138
智慧,137
听,137
蜡烛,137
谢谢,134
花,134
BGM,133
厉害,132
好像,129
傻,126
老婆,122
胡桃,122
