word,count
 ,4863
草,1899
awsl,1032
啊啊啊,807
哈哈哈,763
可爱,464
hiiro,384
哈哈哈哈,324
泪目,284
中文,220
猫,219
耳朵,206
新年快乐,190
猫猫,182
kksk,167
Hiiro,159
太,157
爱,146
笑,144
说,133
I,121
i,115
骂,114
just,113
debu,108
diabetes,107
英语,106
害怕,105
got,104
教,100
死,99
加油,91
开水,88
烧,87
喜欢,86
好听,83
真的,78
吃,78
DD,77
哭,75
you,74
不好,74
三语,73
想,72
草草,72
请,70
真,67
宅叔,67
钱,66
nya,66
狂喜,65
爸爸,64
翻译,63
开幕,62
日语,60
声音,59
噔,59
2333,59
标准,58
听,57
雷击,56
dd,55
cat,51
谢谢,51
中,50
懂,49
开,49
叶,49
感觉,48
 ,48
这是,47
单推,47
笑声,46
地方,46
ゴ,46
前方,46
mua,45
文,44
危,43
做,42
三文鱼,42
a,42
喵,42
超人,41
学,40
还行,40
玩,39
口音,39
hirro,38
太草,38
贴,38
√,38
no,37
www,37
耶,37
名,36
确信,36
兄弟,36
屑,36
yes,36
