word,count
 ,18
草,8
爱,6
懂,3
哈哈哈哈,3
吸血鬼,3
好家伙,3
现场,2
阿伟,2
死,2
请,2
哈哈哈,2
喜欢,2
眼睛,2
里,2
星辰,2
耶,2
･,2
梅开,1
度,1
痕,1
想,1
房里,1
好康,1
太难,1
真的,1
搞,1
随地,1
大小,1
变,1
走,1
程序,1
太草,1
公开,1
处刑,1
针,1
戳,1
他来,1
首曲,1
嗝,1
组合拳,1
点名,1
表扬,1
2333,1
合成,1
西瓜,1
合,1
成,1
西,1
瓜,1
红红火火,1
恍恍惚惚,1
刮,1
洗头,1
233333,1
记忆,1
钱,1
新来,1
观众,1
特长,1
唱歌,1
血,1
玩意儿,1
ko,1
no,1
dio,1
da,1
打晕,1
笑,1
老婆,1
营业,1
声线,1
财迷,1
᷅,1
ὢ,1
᷄,1
a,1
热乎,1
好屑,1
女人,1
dog,1
听不见,1
电视,1
当众,1
要钱,1
屑,1
开幕,1
雷击,1
大声,1
干嘛,1
目力,1
kekon,1
欧皇,1
九二,1
式,1
重机枪,1
扫射,1
开,1
三度,1
桌子,1
