word,count
 ,758
草,384
可爱,106
哈哈哈,92
小姐,88
耶,84
NoiR,65
哈哈哈哈,58
awsl,44
www,37
好听,32
爱,31
太,29
power,28
kksk,19
い,17
啊啊啊,14
笑,13
泪目,13
开幕,13
听,12
anti,12
草草,12
死,11
雷击,11
布丁,11
w,11
〜,10
￣,10
wwww,10
bgm,9
♪,9
恰比,9
2333,8
说,8
wwwww,8
还行,8
▽,8
狂喜,8
这是,8
foo,8
老爷子,8
真,7
入土,7
土土,7
土,7
の,7
no,7
喜欢,7
动,7
zaima,7
想,7
DNA,7
霜星,7
你好,7
dio,7
DIO,7
buzai,7
秋绪,7
太帅,7
懂,6
好家伙,6
探头,6
23333,6
黑,6
海紫米,6
双厨,6
开心,6
名字,6
报上名来,6
佬,6
 ,6
mua,6
跑,5
酱,5
噗,5
里,5
越共,5
弹幕,5
超,5
玩,5
DD,5
走,5
233,5
声音,5
suki,5
da,5
请,5
封面,5
BGM,5
加油,5
春弦,5
松鼠,5
噔,4
わ,4
ー,4
火,4
太棒了,4
真的,4
现场,4
