word,count
 ,3483
草,1614
哈哈哈,1159
京华,896
生日快乐,598
哈哈哈哈,542
锤子,449
mia,343
好听,312
n,308
可爱,255
京,246
kksk,243
哥哥,226
京宝,213
老干妈,210
啊啊啊,189
笑,168
OR,168
500,161
爱,156
太,147
噔,143
or,141
死,137
接受,135
1.5,133
SimHei,131
hso,126
说,118
耶,103
冰糖,100
米娅,100
1000,100
Microsoft,97
永远,96
泪目,95
SimSun,92
赢,89
现场,83
JhengHei,83
2.5,81
帕里,79
真的,78
老婆,77
中文,73
听,71
吸吸,71
妈妈,69
张,65
草草,64
喜欢,63
高能,62
前方,60
好家伙,58
awsl,58
suki,56
呜呜,55
1500,54
完全一致,52
教,52
屑,51
好帅,50
0.35,49
想,48
输,48
做,46
一模一样,45
あ,45
非,45
债债,45
ohhhhhhhh,44
狂喜,43
门,43
手,43
好好,43
follow,43
声音,42
不愧,41
吃,41
弹幕,40
邪,40
声,40
上海,40
话,39
Mia,39
不对劲,38
王刚,38
NSimSun,38
离谱,37
做菜,37
慌,37
ohhhhhhhhhhh,36
说话,36
确实,36
急,36
开幕,35
感觉,35
加水,34
这是,34
