word,count
 ,2554
哈哈哈,620
说,479
信仰,368
超,366
此生,327
啊啊啊,326
跃动,321
电磁炮,314
唯,313
电光,307
喜欢,293
真的,289
指尖,284
bgm,283
哈哈哈哈,259
永世长存,254
死,253
公主,252
想,248
call,225
殿下,219
23333,218
站,218
这是,213
气,211
玩,206
声优,205
游戏,203
2333,191
up,191
の,179
世界,171
233333,169
初音,165
BGM,163
笑,160
卧槽,151
好看,150
永远,149
2333333,148
少女,148
看过,147
感觉,144
666,144
听,144
番,142
233,141
巨侠,141
爱,140
弹幕,133
真,129
承包,127
里,126
肝,124
第一,124
太,123
伊,122
面码,121
哭,120
阴阳师,120
卫宫,119
厉害,118
B,118
记得,117
好像,115
23333333,114
主,112
完,111
声音,111
神,111
红,111
黑,109
过气,109
老婆,108
6666,107
动画,106
走,104
年,101
违和感,100
滑稽,98
b,98
线,97
做,97
233333333,96
卡,95
找到,93
疯狂,90
天,90
不到,89
动漫,89
我要,89
月,88
大佬,86
刷,86
666666,85
吃,85
66666,83
2333333333,82
百合,82
