word,count
 ,695
小雪,148
雪,55
好听,50
女朋友,50
生日快乐,43
男朋友,42
土豪,36
哒,35
雪儿,29
弹幕,27
第一,26
•,26
可爱,26
爱,25
承包,24
❀,24
支持,23
保护,23
协会,23
走开,23
๑,22
萌萌,22
好萌,21
加油,21
ω,20
声音,20
说,20
me,19
不错,18
you,18
喵,18
喜欢,17
let,17
be,17
with,17
跪,16
yuki,16
感觉,15
主,15
↓,15
走,14
开口,14
唱,14
少天,14
占领,14
真的,13
世界,13
邪,13
一米,13
魔物,13
听,12
啵,12
棒,12
抢,12
字幕,12
做,12
鸭,11
雪雪,11
哈哈哈,11
厉害,11
卧槽,11
up,11
前,11
愁,11
√,11
兵长,11
警察,11
叔叔,11
别阻,11
̀,10
́,10
萌,10
￣,10
我来,10
想,10
魔仙,10
弹弓,10
ﾉ,9
▽,9
✧,9
2333,9
太,9
233333,9
女王,9
喔,9
大王,9
伤害,9
雪求,9
嫁,9
「,9
｡,8
妹子,8
没人,8
生快,8
ㅂ,8
海,8
吼,8
´,8
前来,8
