word,count
 ,11471
哈哈哈,2575
鹅,2149
E,1852
老鹅,1699
e,1690
23333,1449
说,1448
玩,1341
游戏,1237
哈哈哈哈,1235
2333,1219
233333,1164
队友,1127
弹幕,992
233,865
2333333,856
堡垒,735
23333333,665
对面,664
前,653
源氏,649
感觉,613
想,588
直播,578
大锤,574
76,565
233333333,541
喵,539
真的,530
开,522
第一,458
这是,441
←,430
卧槽,418
吃,413
喜欢,402
2333333333,394
走,387
承包,383
猎空,377
好像,373
笑,371
半藏,363
换,350
强,338
dj,335
真,326
可爱,326
bgm,323
进度条,316
安娜,311
视频,307
黑,307
跳,303
声音,298
逼,297
里,295
23333333333,295
神,295
点,293
DJ,291
刚刚,285
滑稽,280
鬼,277
开大,276
伤害,275
完,274
记得,266
杀,264
厉害,261
级,258
同步,257
老板,256
高能,255
♂,251
ω,250
日常,247
啊啊啊,247
尴尬,247
买,246
前方,238
空,235
•,232
太,231
路霸,230
做,226
姐,226
最佳,221
a,220
233333333333,219
感谢,219
小学,218
心疼,217
空降,216
东西,215
脸,214
两个,214
麦克雷,212
皮肤,212
