word,count
 ,811
哈哈哈,309
awsl,308
草,226
可爱,215
好听,177
哈哈哈哈,176
小舞,138
23333,127
爱,116
说,108
感觉,107
上海,105
╯,102
中文,101
听,97
配,96
233333,96
2333,93
声音,85
不错,82
弹幕,80
死,79
┻,78
配音,76
话,75
2333333,71
喜欢,67
笑,62
AI,62
233,61
爱酱,60
厉害,58
听不懂,58
♂,56
zz,55
太太,55
日语,55
前,53
真的,52
啊啊啊,51
太,50
耶,49
想,49
朋友,47
智障,46
23333333,46
本子,46
真,45
︵,43
舞,43
人工,41
尴尬,41
up,41
□,41
ai,40
′,40
穿模,40
棒,40
吸吸,40
━,39
日常,38
‵,38
唱,38
听懂,38
支持,37
中配,36
好像,36
好好,36
做,35
233333333,35
舞爷,35
列,34
▽,34
前排,34
这是,34
┴,34
第一,33
喵,33
克星,33
字幕,33
敦,32
挺,32
生日快乐,32
ZZ,31
好棒,31
UP,29
噗,29
世界,29
膨胀,28
走,28
￣,28
哥哥,28
233333333333,27
卧槽,27
大佬,27
23333333333,27
滑稽,26
很棒,26
°,26
