word,count
七宝,190
＼,75
꧁,75
꧂,75
和歌,54
桃丝,20
 ,13
哦哦哦,11
福禄寿,11
喜财,11
耶,8
摆,7
宙宝,7
新年快乐,7
￣,6
粉丝,6
七七,5
真的,5
rap,5
gachi,5
一拳,5
哈哈哈,5
开幕,4
雷击,4
⊙,4
好听,4
桃子,4
牛,4
年,4
桃宝,4
爱,4
七哥,4
超人,4
草,3
阿巴,3
神,3
好会,3
唱,3
大吉,3
可爱,3
缇,3
娅,3
O,3
win,3
笑,2
开心,2
▽,2
完,2
高,2
o,2
很棒,2
诶,2
魔女,2
土豆,2
雷,2
カ,2
歌,2
www,2
听,2
强,2
切克,2
闹,2
我爱你,2
喜欢,2
tsty,2
永远,2
祝,2
憨,2
弹幕,2
哥,2
好棒,2
不谢,2
乐,2
哈哈哈哈,2
●,2
骂,2
好大,1
信息量,1
太草,1
猿形,1
毕露,1
吓死,1
危,1
╮,1
╭,1
脸,1
脚,1
hhhhhh,1
prprpr,1
ohhhh,1
666,1
ohhhhhh,1
八宝,1
破音,1
高音,1
起步,1
声音,1
太高,1
翻,1
棒,1
