word,count
草,46
 ,28
七爷,27
awsl,24
游戏,17
耶,12
可爱,11
加油,9
飞飞,9
喜欢,8
害怕,7
弹幕,6
哈哈哈,6
233333,6
贴,6
新年快乐,6
 ,6
购买,6
涩,5
doge,5
太,5
猫,4
说,4
❤,4
️,4
♂,4
没错,4
老婆,4
即答,4
h,4
开,3
标准,3
太强,3
还行,3
撩,3
弯,3
不美哉,3
男,3
笑,3
开幕,3
雷击,3
傻,3
我卡,3
卡,3
w,3
滑稽,2
く,2
さ,2
猫咪,2
结局,2
2333333,2
牛,2
混乱,2
战术,2
ﾟ,2
推,2
s,2
好帅,2
吹,2
七叶,2
kawaii,2
鸭,2
听,2
新,2
反正,2
混沌,2
辣,2
不错,2
第一个,2
呀呀,2
话,2
忘,2
散,2
黄金,2
之风,2
点赞,2
suki,2
家里,2
装,2
学到,2
魑魅魍魉,2
汪汪,2
鬼鬼,2
做,2
我家,2
屑,2
温柔,2
死,2
み,2
て,2
脑补,2
爱,2
更好,2
击剑,2
可惜,2
逼,2
熟悉,2
想,2
男孩子,2
等爷,2
