word,count
 ,354
草,336
哈哈哈,91
哈哈哈哈,53
妈,47
awsl,47
骂,37
kksk,35
hso,32
懂,29
太,28
开幕,23
别骂,22
可爱,21
妈妈,20
真实,20
声音,19
¿,19
肚子,19
雷击,18
k,18
好活,17
确实,16
说,15
男,15
笑,15
ok,14
憨,14
爱,14
死,13
想,13
OK,12
香香,11
耶,11
喜欢,11
高达,11
啊啊啊,11
whl,11
变大,11
酱,10
好家伙,10
真的,10
感觉,10
弟弟,10
女人,9
玩,9
大叔,9
害怕,9
音,9
控,9
狗头,8
鬼,8
DD,8
i,8
买,8
挺,8
直,8
K,8
做,8
听,8
草草,8
我悟,8
区别,8
hhhhhh,8
下饭,8
年龄,8
穿,8
23333,8
中国,8
现场,7
女生,7
dd,7
弹幕,7
傻,7
味,7
离谱,7
debu,7
婕,7
体香,6
涩,6
还行,6
狗,6
泪目,6
杀,6
doge,6
桃子,6
点,6
朋友,6
气抖,6
冷,6
m,6
不对劲,6
颜色,6
好听,6
dio,6
太草,6
营业,6
起飞,6
本音,6
老师,5
