word,count
 ,1027
草,442
哈哈哈,301
☆,130
500,124
哈哈哈哈,111
拉,106
布里,101
lovely,82
爱璃,82
SimHei,70
好家伙,67
懂,62
SimSun,54
完,52
剑,50
啊啊啊,49
说,48
听,47
Lovely,46
傻,40
༺,39
༻,39
可爱,39
确实,38
真的,38
分钟,37
you,34
存活,34
孩子,32
开幕,32
re,31
强,31
害怕,29
想,29
雷击,29
噔,28
感觉,27
笑,27
↖,26
↗,26
好像,25
这是,24
离谱,24
不对劲,23
the,23
太强,23
300,22
We,22
真,22
偶像,21
声音,21
好活,21
唱,21
种田,20
死,20
at,19
狍子,19
挺,19
吃,18
太,18
up,18
Taking,18
玩具,18
不愧,17
现场,17
跑,17
Over,17
进度条,17
危,17
の,17
东北,16
东爱璃,16
it,16
中文,16
血压,16
爱,15
10,15
厕所,15
小时,14
草草,14
n,14
666,14
有人,14
璃,14
师傅,14
卧槽,14
别念,14
别晃,14
呆呆,14
频道,14
聊天,14
花,14
what,13
got,13
终于,13
希,13
王,12
doge,12
all,12
