word,count
哈哈哈,275
茉茉,129
 ,120
哈哈哈哈,110
可爱,94
太,33
好听,29
11,21
说,20
死,19
丝,17
现场,17
14,17
笑,16
awsl,14
女人,14
好看,14
字幕,13
爱,12
坏,12
游戏,12
躺,12
听,11
真的,11
感觉,11
散,11
茉,10
想,10
第一,10
牛,10
笑声,10
害怕,10
经典,10
手,10
加油,9
疯,9
狼,9
喜欢,8
龙,8
视频,8
真,8
hhhh,8
好家伙,8
失败,8
1.0,8
看个,8
拉拉,7
肥,7
耶,7
厉害,7
成功,7
弹幕,7
系列,7
bgm,7
老师,7
吼吼,7
高,7
赤魔,7
夸夸,7
结局,7
ot,7
标准,7
声音,6
冲冲,6
直播,6
刀,6
牛牛,6
玩,6
卵,6
啊啊啊,6
荒川,6
这是,6
嗷,6
秒,6
开场,6
骑,6
尾巴,5
开心,5
行,5
好评,5
猫,5
魔,5
杀,5
恐怖,5
配音,5
走,5
装备,5
怪物,5
BGM,5
最终幻想,5
强,5
承包,5
模特,5
辛苦,5
泡泡,5
兽,5
哭,5
松糕鞋,5
诗人,5
古惑狼,5
