word,count
收到,772
乃琳,549
mua,428
好好,424
 ,397
捏,293
可爱,290
风情,263
哈哈哈,208
好听,188
美,170
走,155
这下,135
卧槽,130
太,129
麻,125
做作,123
美美,123
tom,112
烧,112
真,107
琳,107
哈哈哈哈,105
笑,90
甜甜,84
死,83
工具,81
住,81
老婆,75
蚌埠,75
真的,73
老公,71
很难,69
说,66
然然,64
呜呜,60
塞克,60
老师,59
爱,57
西,56
Tom,55
细说,55
拉,54
真不熟,52
喜欢,49
绷,48
乃宝,45
贝拉,43
1.0,43
不住,41
太潮,41
晕,41
啊啊啊,38
咱妈,38
拉姐,37
贝直,37
女气,37
甜,36
麻麻,36
还俗,36
宝贝,35
明白,35
同事,35
听,34
想,34
晚晚,33
女,33
爆杀,33
草,32
满意,32
玩,31
坏,31
憨,31
硬,31
确实,30
字幕,30
高耸入云,30
妈妈,29
冷静,29
全麻,29
腰,29
声音,28
你好,28
大头,28
做,27
铁板烧,27
口水,26
TOM,26
经典,26
唱,25
黄豆,25
女人,25
温暖,24
腿,23
聪明,23
喂喂,23
贴,23
蜘蛛,23
贫僧,23
铸币,22
