word,count
危,11
鬼,8
哈哈哈,8
二姐,7
好听,7
 ,7
老婆,5
本音,5
草,5
妈妈,5
太,4
食人,4
害怕,4
前方,4
高能,4
音量,4
业界,4
妈,4
嗷嗷,4
嘤,3
泪目,3
声音,3
骗,3
真,3
酒鬼,3
可爱,2
艾特,2
乱子,2
抱,2
艾特香取,2
绮罗,2
时间,2
i,2
氪,2
吃桃,2
晚上,2
哈哈哈哈,2
D,2
妙,2
喜欢,2
艺能,2
传统,2
⊙,2
18,2
岁,2
doge,2
猴,2
好家伙,2
噔,2
前排,2
提醒,2
耳机,2
好事成双,2
卖萌来,1
句,1
单推人,1
留下,1
印记,1
噗,1
卧槽,1
这是,1
有意思,1
乌月姐,1
骂骂,1
粉黛,1
真实,1
jpg,1
桃树,1
啃,1
挺,1
晚,1
乌兰,1
装,1
心动,1
千篇一律,1
憨憨的,1
妈仅,1
一家,1
╮,1
╯,1
▽,1
╰,1
╭,1
恰桃,1
恰,1
甜,1
哈皮,1
强行,1
好评,1
两级,1
反转,1
巨,1
awsl,1
加油,1
wwww,1
666,1
hhhh,1
有人,1
鬼会,1
憨,1
