word,count
哈哈哈,298
哈哈哈哈,133
 ,124
笑,48
SimSun,47
1000,45
死,37
祈祷,37
nia,35
成都,34
灵魂,32
重庆,32
骤停,31
心脏,29
啊啊啊,29
人笑,25
芙,24
注入,24
草,20
好听,19
人来,18
n,16
可爱,15
太,13
四川人,13
伊,12
四川话,12
战争,12
亲切,11
疯,11
号,11
jue,11
cui,11
求救信号,10
真实,10
飞,10
岳池,10
报道,9
贵州,9
咯咯,8
大笑,8
♪,8
听,7
爱,7
听得懂,7
前来,7
喜欢,6
声音,6
猫,6
hhhhh,6
帅帅,6
南充人,6
终于,6
宜宾,6
广安,6
姐姐,5
好棒,5
＼,5
18,5
358,5
354,5
355,5
536,5
说,5
熟悉,5
口音,5
老乡,5
话,5
幺,5
云南,5
压力,5
路过,5
达州,5
517,4
111,4
真的,4
摇摇晃晃,4
感觉,4
酸,4
广东,4
听懂,4
战术,4
掉,4
江苏,4
hmp,4
哈麻批,4
一遍,4
围观,4
手,4
机,4
绵阳,4
听不懂,4
泸州,4
姬会,3
心,3
停,3
发出,3
434,3
534,3
温柔,3
