word,count
 ,54
613L462,30
哈哈哈,29
500,28
SimHei,27
精灵,20
草,17
M414,15
613L418,15
613L425,15
613L434,15
613L441,15
613L447,15
613L450,15
613L452,15
613L453,15
613L454,15
613L456,15
613L459,15
613L460,15
613L461,15
613,15
好家伙,12
哈哈哈哈,12
伊莎,12
606L521,12
618L524,12
游戏,11
黄油,9
说,9
笑,9
好大,9
喜欢,9
大木,9
死,8
耶,8
⁄,8
选,7
doge,7
直播,7
太,7
可爱,6
姐姐,6
麻,6
M468,6
606L469,6
606L474,6
606L480,6
606L487,6
606L496,6
606L506,6
606L513,6
606L517,6
606L519,6
606L520,6
606,6
M503,6
618L504,6
618L507,6
618L511,6
618L515,6
618L518,6
618L519,6
618L520,6
618L521,6
618L522,6
618L523,6
618,6
游,5
想,5
woc,5
感觉,5
永远,5
真的,5
○,4
O,4
孩子,4
现场,4
正,4
自贡,4
真,4
弹幕,4
の,4
⊙,4
脸,4
扁,4
危,4
之词,4
声音,3
魔法师,3
o,3
懂,3
玩,3
听,3
本来,3
a,3
草生,3
吃,3
高,3
哭,3
