word,count
 ,76
抽,71
吸吸,57
保底,56
土弓,56
离谱,40
草,34
两个,33
up,30
300,28
哈哈哈,27
土花,25
专武,22
awsl,21
说,21
池,19
游戏,19
吸,19
角色,19
下水道,19
船长,19
概率,18
重复,18
哈哈哈哈,17
武器,16
钻石,16
rnm,16
爆率,14
高,14
骂,13
舒服,13
老婆,12
好听,12
不适,12
100,12
想,11
接受,11
好家伙,10
太,10
笑,10
换,10
陌生人,10
三个,10
儿子,9
房东,9
死,9
玩,9
退钱,9
尤金,9
¿,9
不亏,8
号,8
这才,8
弓,8
欧,8
三星,8
十连,8
真实,7
包租婆,7
这是,7
竟是,7
想要,7
傻,7
抽到,7
运气,7
抽卡,7
真的,7
井票,7
氪,7
中,7
热乎,6
可爱,6
恳求,6
妈,6
盒子,6
付费,6
钻,6
网络,6
没出,6
感觉,6
托,6
星,6
水晶,6
万,6
几个,6
偶像,6
科学,6
太对,6
一点,5
现场,5
真,5
懂,5
doge,5
走,5
东西,5
声音,5
妈妈,5
红包,5
孩子,5
确实,5
