word,count
七七,35
许愿,28
好听,26
✿,24
°,24
草,18
永远,15
喜欢,13
▽,13
八寻,12
只赛,12
高,12
ヽ,12
ノ,12
阿巴,12
耶,10
死,8
断绝,8
 ,7
爱,6
还愿,6
出必,5
棒,4
⎛,4
⎝,4
⏝,4
倍,4
刻晴,4
太,3
好看,3
免疫,3
0.5,3
真,2
舌头,2
可爱,2
放炮,2
首页,2
弹幕,2
诶,2
单推,2
----,2
老婆,2
火钳,2
刘明,2
han,2
v,2
哈哈哈哈,2
只好,2
≥,2
≤,2
强,2
填词,2
原神,2
好玩,2
听,2
倍速,2
版,2
藏头,2
斩尽,2
牛杂,2
新,2
剑法,2
点赞,2
衣袂,2
mei,2
云生,2
音,1
保证,1
男人,1
回头,1
爆炸,1
丘丘人,1
大可不必,1
dio,1
娜,1
再来,1
亿遍,1
开水烫,1
宝,1
可梦血,1
回满,1
河边,1
23333,1
声音,1
点点,1
题,1
把币,1
肿,1
点,1
不好意思,1
打破,1
惨剧,1
小阳,1
唱,1
好好,1
dd,1
DN,1
单推人,1
不请自来,1
笑,1
