word,count
 ,426
哈哈哈,371
老婆,245
哈哈哈哈,171
啊啊啊,119
忍,99
穿,94
姐姐,89
老师,87
草,76
doge,71
可爱,61
awsl,58
爱,57
住,52
蚌埠,51
蝴蝶,46
骂,44
耶,43
说,39
听,39
笑,38
社死,37
分钟,36
喜欢,35
新年快乐,35
噔,34
想,33
好家伙,33
热乎,33
猫,33
作业,32
子,32
蕾,32
姆,31
喵,30
害怕,30
死,29
涩,28
西,28
吃,25
雷姆,25
西哟,24
完,23
群,23
猫猫,22
豹子,22
写,21
这是,20
感觉,20
声音,20
い,20
呦,19
好像,19
太,19
舰长,19
温柔,19
内裤,19
开,18
同学,18
女人,18
妈,17
真的,17
第一,17
高考,17
卧槽,16
玩,16
hso,16
在家,16
02,16
永远,16
小时,15
现场,15
真,15
病娇,15
狗头,14
天国,14
裙子,14
嘴角,13
好好,13
视频,13
直播,13
危,13
狮子,13
裤子,13
我要,12
懂,12
不行,12
す,12
学,12
请,12
世界,12
摩西,12
学生,12
だ,12
男生,12
弹幕,11
丈育,11
走,11
点,11
