word,count
 ,329
冥冥,184
摩根,122
哈哈哈,102
草,93
呜呜,88
呆,88
✞,84
可爱,81
佩佩,71
说,70
0.099,70
0.566,64
妖精,60
啊啊啊,55
0.66,55
崔,47
哈哈哈哈,45
死,43
真的,42
太,41
梅林,39
500,38
SimSun,36
妈妈,31
✟,30
屑,29
高文,27
好好,25
异闻,25
天使,24
吃,24
王姐,24
老婆,24
男,24
圆桌,24
c,23
笑,23
确实,23
点,22
里,22
圣,22
请,22
耶,21
晶石,21
喜欢,20
蘑菇,20
玛修,20
毛,20
想,19
女人,19
务必,19
罗拉,18
欧拉,18
哭,17
真,17
阿尔托,17
爱,17
坏,17
做,17
迦勒,17
底,17
姐姐,17
斯,17
0.88,17
奥丁,17
这是,16
人类史,16
贝,16
莉雅,16
指,16
孩子,15
好家伙,15
不列颠,15
bgm,15
单推,15
人类,14
好像,14
老板,14
妖,14
黑,14
悲伤,14
毁灭,13
欧,13
世界,13
看过,13
懂,13
贝屑,13
老公,13
大气,13
泛,12
奥,12
哒,12
感觉,12
心,12
弹幕,12
狗,12
幼狗,12
黑呆,12
脸,11
