word,count
 ,921
哈哈哈,303
草,198
啊啊啊,167
哈哈哈哈,167
好听,157
爱,154
♡,143
太,118
耶,107
喜欢,98
囍,89
鸡皮疙瘩,86
🟣,75
笑,74
可爱,72
说,68
老婆,68
好家伙,63
塔克,61
听,59
游戏,58
哭,58
hso,58
魔王,57
害怕,54
天皇,54
卧槽,50
真的,49
Chelsea,49
死,47
想,46
awsl,45
感觉,43
真,43
姐姐,38
骂,38
妈,38
一遍,37
弹幕,37
吃,36
大人,36
前方,36
下次,35
i,34
高能,34
危,32
笑声,31
老师,30
做,30
苹果,30
心疼,28
语速,28
亿遍,27
兄弟,27
国产,27
切茜娅,26
诶,26
更新,26
黑暗,26
饿,26
好好,25
开口,25
呜呜,25
原神,25
料理,25
声音,24
话,24
哒,24
太棒了,23
再来,23
棒,23
好棒,23
玩,23
好活,23
温柔,22
＼,22
这是,22
想要,22
完,21
天,21
确实,21
认可,21
里,20
快乐,20
买,20
口,20
牛头人,20
草草,20
爷们,20
分娩,20
勺子,20
の,19
牛,19
走,19
团子,19
切宝,19
up,18
唱,18
狂喜,18
