word,count
北极熊,22
 ,19
貂,15
姐姐,15
可爱,13
熊,9
bbd,8
声音,6
啊啊啊,5
太强,5
害怕,5
awsl,4
哈哈哈,4
好看,4
厉害,4
憨,4
幼崽,4
噔,4
说,3
真的,3
死,3
格子,3
好好看,3
太,3
真,3
弹幕,3
熊熊,3
开幕,3
雷击,3
哭,3
好听,3
草,3
好评,2
带师,2
泪目,2
牛,2
第一,2
哈哈哈哈,2
jpg,2
好强,2
保安,2
Roselia,2
roselia,2
温柔一刀,2
tql,2
大佬,2
挺,2
棒,2
鲈鱼,2
鱼露,2
几厘米,2
发出,2
游戏,2
想,2
我来,2
哒,2
小熊,2
喜欢,2
雪狐,2
笑,2
lsp,2
233,2
hso,2
￣,2
妹妹,2
异度,2
之刃,2
bgm,2
单推,2
耳膜,2
高能,2
耶,2
吱呀,2
危,2
假酒,2
害人,2
呜呜,2
邦,2
i,2
tera,1
单身,1
狗,1
咋办,1
我悟,1
路过,1
推人,1
女人,1
jpd,1
妙,1
胸都锤平,1
逃课,1
帅,1
逼,1
可恶,1
北极,1
猫,1
doge,1
热乎,1
机箱,1
放,1
