word,count
啊啊啊,85
哈哈哈,31
 ,28
卧槽,24
哈哈哈哈,16
好家伙,15
草,14
救命,13
死,10
鹅,7
hso,6
可爱,6
杀,6
嗷嗷,6
现场,5
耶,5
嘲笑,4
疯,4
确实,4
喵,4
我人,4
气,3
好听,3
天使,3
笑,3
第一,3
热乎,3
开幕,3
雷击,3
爱,3
聪明,3
♂,3
李元,3
韬,3
老师,3
喜欢,3
呜呜,3
老公,3
血压,2
努力,2
开心,2
好活,2
错过,2
听,2
完,2
前来,2
时间,2
声音,2
危,2
针,2
戳,2
弹幕,2
噔,2
正确,2
芜湖,2
社死,2
关系,2
前方,2
鹅宝,2
29,2
分钟,2
鲨鹅,2
哦哦哦,2
说,2
63,2
太绝,2
亿遍,2
好涩,2
woc,2
擦擦,2
擦,2
对大鹅照,1
成暴击,1
药,1
拿头,1
砸,1
死后,1
嘲讽,1
otto,1
www,1
挺,1
喜庆,1
不行,1
天天,1
念经,1
听得,1
决一死战,1
魔性,1
6666,1
妈耶,1
掉,1
サ,1
自我介绍,1
早睡,1
好多,1
cun,1
绿,1
那种,1
世俗,1
欲望,1
