word,count
草,123
 ,106
哈哈哈,80
勾勾,35
哈哈哈哈,33
可爱,26
笑,20
死,13
草草,12
啊啊啊,11
骂,11
开幕,10
勾,10
感情,10
雷击,9
蚌埠,9
住,9
全是,9
太,8
捏,8
弹射,8
狗,7
好家伙,7
好像,7
bgm,6
爱,6
双头,6
yue,6
好听,6
走,6
完,5
直播,5
好活,5
doge,5
确实,5
开心,5
点,5
视频,5
哭,5
离谱,5
耶,5
狗蛋,5
懂,4
一条,4
耳朵,4
狗狗,4
中,4
秒,4
谢谢,4
卧槽,4
方式,4
说,4
喜欢,4
龙,4
派,4
真实,4
反,4
莫西,4
DD,4
马,4
玉米,4
铁驭,4
别骂,4
技巧,4
憨,4
2345678,4
BT,4
牛头人,4
master,3
铁拳,3
不对劲,3
明白,3
请,3
分,3
笑声,3
诶,3
标题,3
牛,3
兴奋,3
抱歉,3
真的,3
spa,3
感,3
嘞,3
唱歌,3
k,3
 ,3
awsl,3
呜呜,3
好好,3
彩蛋,3
破音,3
现场,3
打嗝,3
震撼,3
退役,3
兄弟,3
狙,3
250,3
玩,3
