word,count
草,343
哈哈哈,343
 ,243
哈哈哈哈,130
小叔,95
噔,60
❀,58
笑,36
社死,35
嘲笑,33
耶,30
钢板,30
说,27
懂,25
死亡,24
第一,23
晃,22
时间,22
好家伙,21
赶来,21
社会性,21
广东,21
方式,20
狂喜,19
文化,18
抱歉,18
爱,18
谢谢,17
可爱,17
水,17
报菜名,17
啊啊啊,16
喜欢,16
真,15
doge,15
灯,14
死,14
表叔,13
危,13
太,13
老婆,13
开心,13
完,13
灯灯,12
想,12
叔叔,12
声音,12
好活,11
牛头人,11
南瓜,11
住,11
击剑,10
害怕,10
穿,10
确实,10
草草,10
号,10
企业,9
行业,9
里,9
世界,9
灯爷,9
蚌埠,9
完蛋,9
男,8
女,8
噗,8
翻译,8
脑袋,8
标题,8
下次,8
屑,8
真的,8
好听,8
推,8
字幕,8
骂,7
兴奋,7
做,7
你好,7
不对劲,7
奇怪,7
kksk,7
听,7
谢罪,7
走,7
传统,7
行,7
好看,7
飞机场,7
这是,7
理解,7
233,7
现场,7
dd,7
强,7
爱理,7
孩子,7
想要,7
走马灯,7
