word,count
友希,499
 ,385
草,144
♬,103
yuuki,99
꯭,99
曹贼,78
꧁,77
꧂,77
꫞,66
希,57
喜欢,53
哈哈哈,51
阿姨,49
牛头人,47
hso,46
人妻,45
老婆,43
好听,42
何异,39
友,37
弹,34
爱,34
て,33
骂,32
awsl,32
か,30
っ,30
よ,29
纯爱,28
啊啊啊,28
可爱,27
不请自来,26
真的,26
战士,25
狂喜,25
100,25
别晃,23
哈哈哈哈,22
声音,22
姐姐,21
奶奶,21
太,21
kksk,21
Q,21
梦,20
doge,19
说,19
の,19
い,19
贴,19
听,18
懂,18
曹操,18
「,18
あ,18
し,18
る,18
好家伙,17
开幕,17
D,17
suki,17
分,17
が,17
妈妈,16
ntr,16
挺,16
晃,16
哈斯,16
Darlin,16
ゆ,16
め,16
叶,16
な,16
た,16
 ,16
确实,15
不对劲,15
雷击,15
奇怪,15
女人,14
dd,14
吾,14
き,14
だ,14
わ,14
DD,13
嫖,13
别骂,13
曹,13
0.5,12
岁,12
真,11
温柔,11
弹幕,11
没错,11
变脸,11
笑,11
好好,11
黑皮,11
