word,count
草,52
哈哈哈,39
 ,15
可爱,9
笑,6
塞尔达,6
疯,5
哈哈哈哈,4
公主,4
激烈,4
死,4
吉吉,4
真的,3
喜欢,3
巨龙,3
里,3
做,3
卧槽,3
进度条,3
梅开二度,3
拉拉,3
草草,3
国王,3
猪叫,2
睡着,2
星沙姐,2
声音,2
脸红,2
勇者,2
线,2
这是,2
懵,2
请,2
赛尔达,2
昆特,2
牌,2
确实,2
听,2
首歌,2
放到,2
外国人,2
中文,2
听力,2
考试,2
没人能,2
善用,2
退出,2
太,2
剑,2
˙,2
贴,2
说,2
嘶,2
关注,2
豪德寺,2
三花,2
原,2
声,2
狂喜,2
好活,2
吃,1
出鹅叫,1
初见,1
笑出,1
猪声,1
小时,1
40,1
天,1
开幕,1
三猫,1
doge,1
kwiii,1
困,1
不住,1
kwiiiiii,1
摸鱼,1
hhh,1
字正腔圆,1
字,1
正,1
腔,1
圆,1
办公室,1
狙,1
太草,1
真,1
猫,1
kkskkkkkkkkkkkkkkkkk,1
关掉,1
成,1
有意思,1
kksk,1
小龙,1
龙,1
画风,1
头,1
屁股,1
勇士,1
事业,1
肚子,1
