word,count
 ,114
←,45
画,25
UP,18
厉害,17
BGM,17
图层,17
大触,16
右下角,16
学到,15
主,15
马克笔,14
・,14
存活,13
画画,13
说,12
光源,12
ω,12
触,12
好棒,11
色,11
QQ,11
嘤,11
背景,10
颜色,10
´,10
感觉,10
姿势,10
鼠绘,10
结构,10
up,10
跪,9
阴影,9
上色,9
喜欢,8
人物,8
太,8
稿,8
谢谢,8
好像,8
线稿,8
岁,7
膝盖,7
鼠标,7
眼睛,7
铅笔,7
诶,7
不好,7
细节,7
板绘,7
弹幕,7
刷,7
｀,7
描边,6
在意,6
请,6
工具,6
涨,6
漂亮,6
感谢,6
膜拜,6
英,6
路,5
转粉,5
娘娘,5
阿婆,5
好看,5
习惯,5
16,5
卧槽,5
点,5
12,5
求,5
头发,5
哭,5
触手,5
先,5
想,5
棒,5
↓,5
同步,5
视频,5
支持,5
茶,5
仏,5
分钟,5
狸子,5
手,5
瞎,5
完,4
散光,4
道,4
年龄,4
.....,4
勾线,4
OJZ,4
SAI,4
效果,4
话,4
QAQ,4
