word,count
 ,2041
哈哈哈,1736
草,1144
草草,872
哈哈哈哈,791
咩,500
耶,284
栗,255
撩,203
老婆,174
许墨,163
钢板,158
老板,156
羊,149
好家伙,137
笑,136
危,123
完全一致,122
啊啊啊,121
夫人,118
融化,104
想要,91
实物,90
为准,89
❤,89
爱,88
害怕,88
awsl,88
说,86
好听,84
许,82
仅供参考,81
死,81
炖,80
糊涂,78
下次,76
现场,75
图片,73
请以,72
♡,71
想,70
doge,69
可爱,67
铁锅,66
平板,65
声音,63
擦,62
墨,62
一模一样,61
阴间,60
弹幕,57
太,56
喜欢,56
诶,55
❣,54
真的,53
墨许,53
开幕,52
雷击,52
伤害,52
火,49
姐姐,49
AMD,47
墨墨,45
心疼,44
呜米,43
玻璃,43
叔叔,43
舰长,43
拍,43
春原,43
吃,42
我要,42
确实,42
崽,42
我爱你,42
请,41
岳父,41
前方,40
开心,40
听,40
围观,40
哭,39
群主,39
经典,39
真,38
感觉,38
两个,38
YES,38
这是,36
好活,35
永远,35
佬,35
老师,34
卧槽,34
呜呜,34
狼,33
95,33
踢,32
走,32
