word,count
 ,88
妮娜,77
啊啊啊,72
草,45
哈哈哈,41
好听,27
ダ,24
娜娜,19
哈哈哈哈,18
生日快乐,17
暂停,14
成功,14
妮,12
老师,11
笑,9
hso,8
耶,7
♬,6
★,6
倾城,6
草草,6
呜呜,5
kksk,5
唱,5
天使,5
衣服,4
are,4
右边,4
许下,4
愿望,4
♪,4
๑,4
॑,4
爱,4
完,4
佬,4
www,4
喜欢,4
KING,3
You,3
左边,3
虚无,3
亲爱,3
王,3
感觉,3
好家伙,3
韩信,3
想,3
听,3
doge,3
房贷,3
憨,3
死,3
害怕,3
超,3
大笑,3
飒飒,3
热裤,3
游戏,2
学到,2
真的,2
我悟,2
张牙舞爪,2
消失,2
像是,2
想要,2
幽闭,2
⸜,2
꒳,2
⸝,2
✰,2
屏气,2
凝息,2
深信不疑,2
嗒,2
king,2
改变,2
Warning,2
warning,2
老板,2
糊涂,2
没事,2
遗憾,2
方式,2
我来,2
故事,2
看着,2
雏儿,2
错,2
瞎,2
可爱,2
羡慕,2
开口,2
跪,2
囡囡,2
好棒,2
芜,2
声音,2
多一点,2
派克,2
