word,count
 ,16
梨,12
27,7
哭,5
26,5
好家伙,5
教学,4
乘法,4
口诀,4
背对,4
doge,3
可爱,3
直播,3
独立,3
开幕,3
雷击,3
耳朵,3
数学,3
草,3
舰长,3
ᵎ,3
哈哈哈,2
气,2
哔,2
做,2
啾,2
惊,2
单推,2
丈育,2
耶,2
晕,2
厕所,2
五八,2
爱,2
努力,2
vtb,2
3928,2
质数,2
情商,2
哈哈哈哈,2
3926,2
放屁,2
画业,2
火,2
向日葵,2
病,2
票,2
说,2
捏,2
没道理,2
喝,2
指,2
舰,2
˶,2
꒳,2
醒醒,1
八毛,1
吐,1
清醒,1
点,1
叔叔,1
扣,1
一半,1
一块钱,1
两千个,1
v,1
每人,1
两块,1
土葬,1
接地,1
好歹,1
两块钱,1
小声,1
砍死,1
男默,1
女泪,1
不香,1
SC,1
时间,1
欧,1
free,1
styles,1
问得,1
树,1
白板,1
仗育,1
中,1
耳机,1
党,1
震怒,1
中奖,1
没法,1
等于,1
装傻,1
真的,1
傻,1
三五,1
三十五,1
背错,1
少壮,1
