word,count
笋笋,48
夜岚,25
笋头,20
恶龙,18
龙,16
好听,14
 ,11
事故,8
帅,6
吃,5
笋,5
憨辣笋,5
啰嗦,5
吵死,5
草,4
憨,4
拉什,4
烦人,4
芜湖,4
感觉,3
awsl,3
音量,3
可爱,3
太棒了,3
喜欢,3
爱,3
聋,3
提醒,3
晚,3
卧槽,3
不火,3
好棒,3
建议,3
2.0,3
倍速,3
听,3
太帅,3
汀,3
调,2
人笋,2
唱,2
食,2
斩服,2
少女,2
✪,2
▽,2
棒,2
厉害,2
弹幕,2
o,2
ﾟ,2
芙,2
好家伙,2
1.5,2
倍,2
食用,2
好帅,2
鸡皮疙瘩,2
抱,2
明白,2
平凡,2
可比,2
想,2
好得多,2
开口,2
首页,2
通知书,2
地方,2
呜呜,2
な,2
好好,2
啊啊啊,2
๑,2
•,2
巧,1
tql,1
大部分,1
是从,1
直播,1
up,1
开怀大笑,1
脑壳,1
炸,1
率先,1
嚣张,1
wwww,1
阿伟,1
死,1
每日,1
亿遍,1
乱入,1
面条,1
hhh,1
好美,1
有人,1
翻唱,1
这首,1
开头,1
饿,1
冒出来,1
