word,count
草,1406
 ,637
大姐,441
帕里,226
哈哈哈,145
可爱,126
耶,109
hso,99
awsl,95
太,74
害怕,74
哈哈哈哈,72
开幕,62
雷击,62
说,55
谢谢,55
草草,51
笑,51
小姐,49
牙白,47
kksk,47
天使,46
下划线,42
迷迭,40
死,40
混沌,40
真的,38
爱,37
shiori,37
啾,35
好家伙,35
好人,32
高,31
妈妈,30
不对劲,30
噔,30
危,29
泪目,29
岳母,28
www,27
想,27
喜欢,27
做,27
杀,27
声音,27
这是,26
团长,26
女,26
确实,26
不行,25
兔子,25
吃,25
穿模,25
不愧,25
sodayo,24
bgm,23
whl,22
家,22
哭,22
幼儿,22
い,21
啊啊啊,21
king,21
真,20
suki,19
桑,19
卧槽,19
P,18
里,18
听,18
　,18
奶味,18
懂,17
2333,17
太草,17
呜呜,16
手,16
屑,16
oto,16
dd,16
经典,15
还行,15
可怕,15
h,15
菩萨,15
prprpr,15
糖豆,15
请,14
头,14
￣,14
我要,14
永远,14
动作,14
23333,14
贴,14
奥斯曼,14
吐血,13
惨,13
斯,13
mana,13
