word,count
草,28
可爱,25
哈哈哈,12
吃,9
太,4
味道,3
初见,3
特别,3
十万,3
加油,3
医疗,3
结婚,3
桌子,2
酸,2
日本,2
说,2
香菜,2
本来,2
发现,2
螺蛳,2
粉,2
公司,2
厕所,2
天使,2
开除,2
可怜,2
哈哈哈哈,2
噔,2
 ,2
直播,2
悲伤,2
www,2
彩礼,2
钱,2
心理咨询,2
类,2
报销,2
单推,2
社保,2
国家,2
家暴,2
总督,2
い,2
万,2
倒插门,2
中日,2
好听,2
咩,2
no,2
茄子,2
礼貌,1
未闻,1
花名,1
hhhh,1
.....,1
火,1
酸笋,1
w,1
东西,1
好吃,1
绑架,1
眨,1
声优,1
保护,1
嗓子,1
DD,1
好家伙,1
翻译,1
桃子,1
hp,1
10000,1
这不酸笋,1
做,1
碗,1
机智,1
想起,1
中午,1
有人,1
榴莲,1
糖,1
真,1
上头,1
经典,1
依稀,1
反着,1
念,1
赶去,1
呆萌,1
酸味,1
第二天,1
左脚,1
先进,1
门,1
妹,1
肚子饿,1
赶紧,1
弄点,1
表情,1
看着,1
不想,1
