word,count
 ,700
哈哈哈,532
奶茶,515
哈哈哈哈,259
杯,111
游戏,94
声音,91
awsl,90
喵,89
玩,86
可爱,84
弹幕,83
现场,77
阿巴,70
啊啊啊,68
奶奶,65
爱,63
笑,57
死,57
好听,53
喜欢,52
说,45
真的,44
想,43
视频,43
高能,42
年,42
大杯,42
害怕,38
朋友,38
感觉,37
太,36
这是,34
真,34
吃,33
草,33
贴心,33
超大,33
前方,32
2333,32
泪目,31
直播,31
i,29
跑,29
加油,29
危,28
里,28
√,27
233,26
还行,25
诶,25
中杯,25
真实,24
拍,24
茶,23
确实,23
23333,23
走,23
生化危机,23
doge,23
好家伙,22
肚皮,22
老师,22
鬼,21
做,21
好活,21
听,20
关注,20
姬,20
哭,20
卧槽,20
好像,20
恐怖,19
黑狗,19
行,19
最棒,19
不对劲,19
罗,19
点,18
下次,18
站,18
233333,18
阿姨,18
营业,18
姐,18
吸吸,18
好评,17
BGM,17
挺,17
耶,17
我来,17
孩子,17
工资,17
18,17
完,16
开头,16
生化,16
面包,16
骂,16
买,16
