word,count
 ,841
哈哈哈,268
英雄,163
皮肤,132
可爱,130
狂喜,121
女,110
亚索,108
哈哈哈哈,106
男,98
说,94
华裔,80
玩,77
太,70
新,70
死,70
买,63
打野,63
感觉,60
下次,59
老婆,55
ad,54
折磨,54
鬼泣,53
秒,53
玩家,48
草,47
这是,46
辛苦,45
爱,44
蓝,43
伤害,43
想,42
真的,42
真,42
吃,42
真实,41
技能,40
狗头,40
快乐,40
up,40
中国,40
笑,39
阿巴,39
永恩,38
声音,37
死神,37
好像,35
做,35
好看,35
乌迪尔,35
莉娅,35
die,34
精粹,33
阿卡,32
剑圣,32
起飞,32
级,32
人马,32
喜欢,30
里,30
绿,30
厄,30
加特,30
两个,29
游戏,29
莉,29
千珏,29
锤石,28
辅助,28
awsl,28
拳头,27
哭,27
阿狸,27
厄斐,27
fafa,27
猫咪,27
大招,26
花花,26
月,26
丽,26
灵魂,26
联盟,25
削,25
终于,25
卧槽,25
离谱,24
杀,24
回来,24
加,24
奥恩,24
希望,23
派克,23
cd,23
蒙多,22
系列,22
设计师,22
铲,22
刀,22
王者,22
