word,count
草,1287
 ,618
可爱,388
有劲,330
哈哈哈,314
哈哈哈哈,156
太,104
公主,77
笑,67
忠,59
诚,59
www,57
猫,55
死,53
说,45
kksk,40
区别,40
吃,37
握笔,37
hso,36
确实,35
开幕,35
劲,31
耶,31
表情,30
真的,30
汪汪,28
噔,28
真,28
雷击,28
mana,27
草草,27
精神,27
啵,26
awsl,25
一只,25
这是,25
老师,25
fu,24
手,24
玩,23
懂,23
爱,23
老婆,23
听,23
新年快乐,23
foo,23
挺,21
屑,21
wwww,21
拉,21
孙,20
害怕,20
喜欢,20
离谱,20
2333,20
好家伙,20
罗,20
虫豸,20
劲儿,19
骂,19
诶,19
啊啊啊,19
憨,19
危,18
猪,18
急,18
帕里,18
嘴,17
鸡腿,17
越来越,17
い,17
姿势,17
想,16
游戏,16
妹,16
韩国,15
谢谢,15
没劲,15
经典,15
日语,15
hu,15
DNA,15
镜像,15
买,14
要来,14
里,14
朋友,14
发音,14
ｈ,14
wwwww,13
卡,13
猫猫,13
奶味,13
喝,13
孩子,12
血压,12
wwwwww,12
ｗ,12
完,12
