word,count
草,390
 ,323
哈哈哈,175
哈哈哈哈,78
堂姐,67
安,65
狐狐,35
说,34
hso,34
太,32
安堂,29
日语,27
糟,27
模块,24
可爱,24
龟龟,24
粤语,23
泪目,22
笑,21
哭,21
jpg,20
好人,20
懂,18
anti,18
耶,18
感动,16
草草,16
德哈卡,15
龟,15
谢谢,15
这是,14
死,14
确实,13
害怕,13
呜呜,13
坏,13
kksk,13
想,13
喜欢,13
莫桑比克,12
233,12
bgm,12
经典,12
狐狸,12
八木,12
一群,12
营业,12
开幕,11
恶毒,11
雪,10
狐,10
女人,10
任天堂,10
表情,10
室友,10
哼唧,10
强,9
杀,9
虚拟,9
真实,9
骂,9
吱吱,9
狂喜,8
真的,8
好家伙,8
字幕组,8
开心,8
暴露,8
现场,8
www,8
雷击,8
诶,8
猫,8
声音,8
感觉,7
太草,7
典,7
直播,7
2333,7
中之人,7
做,7
日本,7
还行,7
味,7
国,7
蟑螂,7
精华,7
ww,7
BGM,7
遭,7
损坏,7
x,7
gif,7
韦天,6
无敌,6
里,6
名,6
悲,6
流,6
高,6
