word,count
 ,23
草,23
圣女,22
耶,15
哈哈哈,13
可爱,7
眼珠子,7
大人,7
眼珠,6
爱,6
月,5
憨,5
笑,5
doge,5
脸,4
好听,4
现场,4
翻,4
赢,4
i,4
死,3
不愧,3
完,3
血压,3
温柔,3
太草,3
太,2
2333,2
女,2
说,2
医生,2
护士,2
送,2
关注,2
精神病院,2
转,2
哈哈哈哈,2
这牌,2
摊牌,2
泪滴,2
王,2
土块,2
慈善,2
智慧,2
芜湖,2
宠,2
硬核,2
眼球,2
好家伙,2
好活,2
扣下来,2
哪有,2
✪,2
5.20,1
MIAO,1
丢光,1
啊啊啊,1
QWQ,1
xswl,1
气息,1
溢,1
姐,1
耳机,1
游戏,1
老婆,1
自欺欺人,1
打嗝,1
太魔性,1
吓人,1
剩女,1
活生生,1
对不起,1
想,1
圣,1
音,1
声,1
晓得,1
真,1
走火,1
hhh,1
擦,1
玻璃,1
音量,1
预警,1
神,1
折寿,1
中,1
患者,1
疫苗,1
精神科,1
渐长,1
走,1
一波,1
填大,1
公司,1
白大褂,1
说不定,1
新,1
媒体,1
出门,1
