word,count
新年快乐,206
哈哈哈,148
毛毛,90
哈哈哈哈,80
 ,80
可爱,60
草,57
妈妈,36
awsl,32
笑,25
爱,21
孩子,20
耶,20
开心,19
喝,17
超度,17
老板,15
舰长,15
真的,15
好家伙,14
doge,13
男,13
危,12
兔子,12
害怕,11
好喝,11
不对劲,11
啊啊啊,11
喷位,11
比划,11
想,10
大威,10
生日快乐,10
现场,9
死,9
吃,9
尖叫,9
说,9
兔,9
活着,9
天龙,9
谢谢,9
兔头,9
女儿,9
物理,9
气泡,8
亲妈,8
打牌,8
VIP,8
大气,7
新,7
瓦斯,7
味道,7
挺,7
太,7
头,6
赚,6
秃头,6
感觉,6
炖,6
好像,6
毛,6
小毛,6
爸爸,6
奶奶,6
哭,5
叔叔,5
指,5
还行,5
做,5
草水,5
格,5
水,5
玩,5
崽,5
桃子,5
里,5
戳,5
教,5
直播,5
讲,5
头发,5
懂,5
饿,5
好吃,5
麻辣,5
红烧,5
记得,4
陈,4
站,4
惨,4
猪心,4
分,4
付费,4
上班,4
狂喜,4
舰,4
鱼,4
傻,4
隔壁,4
