word,count
哈哈哈,911
 ,716
草,512
哈哈哈哈,429
虾,175
老师,123
青眼,115
危,104
女王,91
√,84
笑,69
害怕,65
死,60
说,59
啊啊啊,57
wc,46
白龙,43
万子姐,42
现场,41
次元,41
万岁,40
太,36
暗面,35
牛,33
逼,29
可爱,29
打倒,29
海马,28
好听,26
回眸一笑,26
真,25
高能,25
龙,25
完,24
骂,24
前方,24
区别,24
好家伙,23
✓,23
doge,22
导播,22
直播,21
恍恍惚惚,21
确实,21
想,21
反抗军,21
儿子,20
nice,20
boat,20
突突突,19
真实,18
兄弟,18
挺,18
乐园,18
这是,17
经典,17
反叛军,17
巴尔,17
刺猬,17
箭,17
手,16
真的,16
666,16
龟龟,16
2333,16
虫,16
放箭,16
撸,16
好事,16
噔,15
hhhhh,15
鬼,15
坦星,15
卧槽,14
上课,14
穿模,14
23333,14
裂开,14
爱,14
慌,13
网,13
不好,13
声音,13
滑稽,13
王,13
干,13
高手,13
土土,13
红红火火,12
不行,12
我要,12
生,12
好活,12
草草,12
买,12
一遍,12
公园,12
百鬼,12
站,11
233,11
