word,count
草,152
 ,86
可爱,77
哈哈哈,29
太,22
好听,21
哈哈哈哈,17
喜欢,16
♪,14
๑,14
॑,14
www,12
笑,12
草草,12
豆子,10
≧,10
≦,10
大妈,8
天天,7
wwww,7
2333,7
害怕,7
耶,7
い,7
∇,7
⸜,7
꒳,7
⸝,7
✰,7
算了算,7
kksk,6
azuki,6
想,6
真,6
好家伙,6
雷击,5
吃,5
加油,5
好活,5
单推,5
噔,5
谢谢,4
懂,4
wwwww,4
开幕,4
歌,4
Ｏ,4
hso,4
憨,4
切片,4
恭喜,4
DD,4
ww,4
生草,4
太草,4
suki,4
贴,4
摸,3
好好,3
诶,3
做,3
厉害,3
す,3
no,3
角色,3
哭,3
唱,3
听,3
爷青回,3
日本,3
た,3
っ,3
▽,3
指令,3
算了,3
初见,3
dd,3
重生,3
好强,3
wwwwww,3
年,3
卧槽,3
妈妈,3
牌子,3
绷,3
不住,3
o,3
阿姨,3
芜湖,3
跌死,3
娃,3
full,3
anti,3
世纪,3
睡,2
不愧,2
老师,2
23333,2
天哥,2
干,2
