word,count
 ,11
草,8
嘤,6
真不错,4
可爱,4
猫,4
哈哈哈哈,3
屑,3
好家伙,2
怪叫,2
耶,2
太强,2
这是,2
视频,2
骂,2
下次,2
简单,2
哈哈哈,1
233333,1
23333,1
回收,1
开头,1
小丑,1
面具,1
戴久,1
摘,1
帝骑哥,1
变身,1
bgm,1
杀人,1
诛心,1
整笑,1
合集,1
太草,1
驴,1
害怕,1
挺萌,1
dog,1
好听,1
十级,1
粤语,1
一车,1
面包,1
烫,1
嘴,1
想,1
扁,1
欠揍,1
温柔,1
声音,1
说出,1
最狠,1
初见,1
单挑,1
啊啊啊,1
报应,1
别别别,1
懂,1
游戏,1
抽卡,1
叫尼奈,1
说,1
不愧,1
尼尼,1
真,1
喜欢,1
带恶,1
光速,1
跑,1
路,1
猛男,1
处决,1
名单,1
好看,1
头,1
转,1
庸医,1
一串,1
剪辑,1
帅到,1
sir,1
上车,1
燃起,1
开,1
幕,1
雷,1
击,1
两个,1
伤害,1
截图,1
几个,1
鞭尸,1
舰长,1
尼,1
憨,1
奈宝,1
进度条,1
awsl,1
简,1
suki,1
