word,count
草,99
 ,67
专业,56
害怕,20
哈哈哈,19
█,18
▇,18
▆,18
▅,18
▄,18
哈哈哈哈,15
▃,9
屁声,8
沉,6
裂开,6
车,6
尼奥,5
现场,5
公屏,5
awsl,5
心,5
脸红,5
泡泡,5
茶壶,5
危,5
啊啊啊,5
去世,4
好萌,4
可爱,4
爸,4
跑,4
队友,4
安详,4
雷击,3
里,3
棺材,3
肺,3
停,3
止,3
泪目,3
孩子,3
爸爸,3
裂开来,3
小马,3
真的,3
逮虾,3
户,3
热乎,3
杯子,2
尿,2
师傅,2
好家伙,2
妹妹,2
这是,2
皮,2
hso,2
狗头,2
学坏,2
好活,2
绝活,2
终于,2
生草,2
眼睛,2
翻,2
泰坦尼克,2
船,2
牛,2
前方,2
高能,2
脸,2
憋,2
红,2
红红火火,2
恍恍惚惚,2
一种,2
植物,2
屁,2
傻,2
↓,2
爱,2
⊙,2
正片,2
口技,2
开,2
维修队,2
机枪,2
燃起,2
玩,2
卧槽,2
粘,2
强强,2
真实,1
废人,1
好狠,1
工具,1
洒家,1
找,1
新,1
人格,1
我要,1
