word,count
 ,193
跪,162
好听,160
开口,104
听,55
岛主,55
棒,43
不错,41
好棒,40
赞,35
太,31
哒,30
声音,27
主,27
　,26
队形,25
听歌,25
弹幕,24
up,24
UP,24
熙熙,23
感觉,22
原唱,22
围观,21
硬币,21
加油,20
卧槽,19
女神,18
喜欢,18
很棒,18
呼,18
刘明,16
火钳,16
膝盖,16
海绵,16
爱,16
前,15
骗,15
美,15
转粉,14
美哭,14
收藏,14
我来,14
点,13
路,13
系列,13
萌萌,13
鸡皮疙瘩,13
啊啊啊,13
厉害,13
东极岛,13
问,12
会长,12
大圣,12
原版,12
挺,12
棒棒,12
赞赞赞,12
完,11
感动,11
视频,11
无限,11
真的,11
大神,11
封面,11
转生,11
唱,10
顶上去,10
好好,10
走,10
不行,10
生日快乐,10
投币,10
标题,9
版本,9
收下,9
神,9
不准,9
•,8
说,8
中,8
好赞,8
极好,8
大爱,8
循环,8
好美,8
美美,8
ww,8
路过,8
宝藏,8
谜一样,8
唔,8
下次,7
大人,7
好评,7
字幕,7
QAQ,7
第一,7
滚,7
意外,7
