word,count
 ,385
哈哈哈,207
哈哈哈哈,91
Microsoft,79
巴克,72
500,72
n,70
YaHei,68
草,49
300,49
啊啊啊,37
ら,33
笑,32
い,31
し,28
FangSong,28
DADDY,28
老师,27
に,27
の,26
800,24
り,22
400,22
な,21
470,21
た,20
ふ,20
爱,18
を,18
死,18
330,18
阿巴,16
て,16
280,16
420,16
0.3,15
SimHei,15
DO,14
太,13
か,13
ラ,13
る,12
ま,12
も,12
h,12
画,12
强,11
が,11
れ,11
う,11
 ,11
JhengHei,11
般,11
285,11
け,10
中,10
感觉,10
450,10
440,10
❤,10
は,10
フ,10
可爱,9
き,9
と,9
350,9
310,9
320,9
430,9
290,9
耀眼,9
烈焰,9
熊熊燃烧,9
460,9
305,9
NO,9
あ,9
え,8
く,8
だ,8
好听,8
で,8
10000,8
50,8
4000,8
385,8
30,8
摇篮,8
作弊,8
っ,8
画画,7
80,7
わ,7
ち,7
ん,7
40,7
445,7
想要,7
形象,7
传神,7
