word,count
 ,509
草,470
牛,312
牛牛,246
哈哈哈,181
哈哈哈哈,90
耶,65
笑,51
可爱,49
希希,48
hso,37
好家伙,37
死,35
胖,31
说,27
ん,27
憨,25
三斤,25
骂,25
草草,25
月,24
啊啊啊,23
太,22
真的,22
点,22
吃,22
梦魇,21
小话,21
独角兽,21
钢之魂,21
表情,20
物理,19
一头,18
懂,18
痨,18
经典,18
住,18
马,18
爱,18
确实,18
角,18
打成一片,18
喜欢,17
苹果,17
真,17
海盗船,17
流向,17
蚌埠,16
这是,15
芜湖,15
害怕,15
变,15
回来,15
ohhhhhhhhhhhh,15
ohhhhhhhhhhhhh,15
制作,15
光蝶,15
声音,14
doge,14
awsl,14
哒,14
debu,14
完,14
话,14
希牛,14
初次见面,14
ohhhhhhhhhh,14
希,13
赢,13
下次,13
想,13
好像,13
报丧,13
女妖,13
韦天,13
jpg,12
女,12
精分,12
猫猫,12
改变,12
h,12
ohhhhhhhhhhhhhhhhhh,12
ohhhhhhhhhhh,12
听,11
黑,11
丈育,11
ohhhhhhhh,11
血压,11
兽,11
夺舍,11
蜘蛛,11
好听,11
 ,11
肥牛,10
全,10
声线,10
沙律,10
少壮,10
努力,10
傻,10
