word,count
鲸宝,110
哈哈哈,55
 ,38
草,33
鼠标,24
可爱,22
哈哈哈哈,16
屑,16
耶,13
鲸,13
笑,12
鲸鱼,12
doge,11
爱,11
死,10
说,10
海王,10
迷路,9
攻,9
不合理,9
史莱姆,7
受,7
好家伙,6
加油,6
好像,6
真,6
接受,6
玩,5
确实,5
雪狐,5
袅袅,5
渣,5
天使,5
声音,4
☆,4
o,4
实锤,4
地方,4
游戏,4
弹幕,4
男,4
分钟,4
小天使,4
准,4
希月,4
太准,4
真的,3
反杀,3
关注,3
momo,3
这是,3
好听,3
d,3
傻,3
嘤,3
hso,3
＼,3
狗头,3
农场,3
女人,3
岩石,3
吃,3
憨,3
啊啊啊,3
希月屑,3
坏,3
太屑,3
渣鲸,3
发,3
里,3
这句,3
话,3
唯一,3
渣攻,3
企鹅,3
yysy,3
喜欢,3
hhh,2
暴露,2
歌,2
D,2
佬,2
明白,2
bgm,2
孩子,2
v,2
狂喜,2
还行,2
da,2
ma,2
好吃,2
suki,2
awsl,2
吾,2
乡,2
史,2
手动,2
呆,2
脑袋,2
舰长,2
