word,count
麦麦,482
 ,262
憨,122
猫猫,108
草,68
哈哈哈,54
awsl,47
咩,46
希希,39
哈哈哈哈,24
下次,22
国士,21
爱,19
啊啊啊,19
可爱,18
弹幕,18
想,18
声音,16
笑,15
喜欢,15
老师,14
贝尔,14
死,13
希,13
噔,12
火钳,12
刘明,12
真的,11
不愧,11
麦克风,10
听,10
榨干,10
惨,9
百合,9
真,9
龙,9
吃,9
蕾,9
蒂,9
熟悉,9
三连,9
菜,8
麦,8
太,8
还行,8
这是,8
王,8
hi,8
噗,8
三个,8
国士无双,8
暗杠,8
不行,7
说,7
好好,7
火,7
抢,7
猫,7
玩,7
高能,7
前排,7
血,7
奶笛,7
说话,7
做,7
←,7
完,6
233333,6
AWSL,6
高,6
喵,6
走,6
好听,6
开幕,6
雷击,6
幺,6
片尾,6
哭,6
刺激,6
伤害,6
m,6
位,6
历战王,6
蘑菇,6
麦麦强,6
无敌,6
立直,6
中,5
贴,5
打麻将,5
尾巴,5
好大,5
up,5
真香,5
吹,5
不错,5
更新,5
播放,5
o,5
好惨,5
