word,count
 ,113
哈哈哈,69
魅魔,35
草,29
水龙,28
笑,24
敬,23
哈哈哈哈,22
老师,21
说,20
兴趣,20
doge,19
懂,18
咩,15
不感兴趣,15
¿,15
眼睛,14
口水,14
笑声,13
女神,13
游乐园,13
蔡明,12
男人,12
确实,11
真的,10
草草,10
现场,9
点,9
方式,9
看过,9
好家伙,9
男,9
直播,8
死,8
堕,8
吸,8
吃,8
耶,7
妈妈,7
里,7
啊啊啊,7
抱歉,7
脸红,7
乐园,7
姐姐,7
倒装句,7
声音,7
流口水,7
司马,7
离谱,6
乜,6
想,6
开,6
合适,6
视频,6
经典,6
粉丝,6
试穿,6
试,6
内裤,6
神,6
音量,5
调小,5
桌子,5
螃蟹,5
猫,5
喜欢,5
吓死,5
不对劲,5
卧槽,5
感觉,5
疯,5
走,5
爱心,5
园长,5
漫画,5
vtb,5
好像,5
太,5
真,5
金轮,5
口,5
点开,5
鹅,5
推广,5
科普,5
买,5
子,5
魔,5
搞,5
谢谢,4
裂开,4
暴露,4
崽,4
猫猫,4
双黄,4
弹幕,4
up,4
抬,4
游乐场,4
