word,count
 ,1040
哈哈哈,485
方式,435
抱歉,343
哈哈哈哈,233
草,196
懂,102
doge,97
耶,94
好家伙,89
awsl,79
说,70
确实,67
笑,65
滢,61
可爱,59
想,58
宝,53
睡觉,49
死,48
太,48
社死,45
真的,45
梦见,44
欧拉,42
狗,41
做,39
啊啊啊,38
谢谢,38
猫,36
声音,36
孩子,35
快乐,35
直播,33
雷击,32
干,32
10,32
狗子,31
真实,30
听,29
分钟,29
诶,28
好听,28
离谱,28
梦,28
真,27
开幕,27
500,27
作业,27
舍得,27
走,26
弹幕,26
帮,26
铃声,26
up,25
现场,25
拍,25
字幕,25
做梦,25
蚊子,25
感觉,24
喜欢,24
手机,24
一遍,24
兄弟,24
吃,23
放,23
遗憾,23
怀孕,23
ゴ,23
事情,22
请,22
哭,22
这是,22
我来,22
之词,22
形式,22
害怕,21
钢板,21
超管,21
睡着,21
霜滢,20
你好,20
兴奋,20
508,20
344,20
动,20
UP,19
视频,19
天使,19
不对劲,19
完,19
虎狼,19
点,18
卧槽,18
我要,18
肚皮,18
我家,18
太会,18
产假,18
