word,count
草,555
 ,324
lia,210
莉亚,118
可爱,102
哈哈哈,56
喜欢,44
リ,37
ア,36
啊啊啊,36
好听,33
耶,32
组长,30
太,27
死,26
开幕,25
雷击,24
结婚,24
笑,23
害怕,23
我爱你,22
哈哈哈哈,21
好活,19
加油,19
❤,19
骂,18
www,18
危,18
爱,15
2333,14
别骂,13
好家伙,11
awsl,11
剑,11
大木,11
抱抱,10
弹幕,10
mua,10
kksk,10
太草,10
封面,10
不错,10
可怕,10
suki,10
噔,10
说,9
声音,9
舒服,9
真,9
hso,9
香菜,9
音量,8
￣,8
不愧,8
wwww,8
高,8
＼,8
no,8
民,8
妈妈,7
真的,7
い,7
喵,7
翻译,7
w,7
武器,7
抽,7
草草,7
好大,7
暗杀,7
啾,7
抱,6
泪目,6
吸吸,6
想,6
离谱,6
♪,6
๑,6
॑,6
doge,6
BGM,6
常驻,6
不亏,6
114514,6
组,6
ん,6
猫猫,6
天使,6
游戏,6
剑圣,6
好像,5
好怪,5
谢谢,5
日语,5
....,5
牙白,5
单推,5
迪卢克,5
完,5
后期,5
