word,count
哈哈哈,133
哈哈哈哈,59
yyds,25
长歌门,20
韬,12
一眼,12
万年,12
歪,11
呜呜,10
 ,9
啊啊啊,8
姐妹,8
太,7
笑,7
众生,7
皆,7
优秀,7
爱,7
锁死,7
up,7
真实,6
好听,6
鸽子,6
怂,6
厉害,5
太秀,5
可爱,4
哭,4
少,4
主,4
排面,4
南北,4
哇哇,4
好家伙,4
公屏,4
投币,3
疯,3
草,3
少林,3
咕咕,3
死,3
剑网,3
永远,3
JY,3
好帅,3
妙,3
阴阳怪气,3
怂哥,3
文化,3
传承,3
3090,3
滔滔,3
这有,3
金水,3
好绝,3
78910,3
3080,3
青璃,3
弹幕,2
送,2
╹,2
地方,2
耶,2
敬,2
条,2
doge,2
感觉,2
百万,2
声音,2
666666,2
行,2
蹲,2
走,2
破防,2
断,2
奶歌,2
咕,2
乳鸽,2
版本,2
门,2
美,2
歪哥,2
盛世,2
如你所愿,2
填词,2
直播,2
太强,2
老能,2
骗人,2
sou,2
太美,2
琴瑟之好,2
词,2
jojo,2
首页,2
通知书,2
太绝,2
听,2
何难,2
牛蛙,2
