word,count
小舞,6222
♡,3958
い,3092
 ,2146
可爱,1675
天使,1594
哈哈哈,1494
￣,1288
天才,1074
晚安,1068
す,1006
ま,980
ん,954
小葵,917
耶,897
は,805
し,748
な,733
で,725
谢谢,716
か,694
哈哈哈哈,688
老板,669
お,631
▽,627
た,603
大气,599
老婆,580
抱抱,569
る,567
て,558
う,546
ttk,546
の,538
ー,531
ち,520
葵,509
あ,490
ン,460
贴,458
だ,454
°,450
凛,438
っ,426
こ,408
ゃ,403
舞,366
辛苦,364
が,359
よ,352
も,344
に,335
⌒,333
れ,330
ね,324
suki,324
き,323
prprprprpr,311
さ,310
を,306
∀,297
と,296
prprprpr,293
爱,291
prprprprprpr,288
わ,287
く,278
88888888,277
り,263
ら,263
太,255
同传,255
喜欢,254
え,241
ア,241
ル,240
や,239
prprpr,237
安,236
啊啊啊,235
ok,233
晚上,232
ﾉ,230
8888888,229
ゆ,223
ｗ,222
み,219
可愛,216
歪,209
イ,208
コ,208
说,194
〜,193
拜拜,190
888888,187
prprprprprprprprprpr,186
ス,177
ば,176
w,172
ohhhhhhhhhhh,169
