word,count
 ,134
草,76
哈哈哈,35
可爱,23
惑,18
吃,16
哈哈哈哈,14
妈,9
大哥,9
太,9
女仆,9
waku,8
死,7
仙,7
反弹,7
耶,6
扇,6
芍药,6
小姐,6
姬,6
死者,6
感觉,5
23333,5
电视,5
好听,5
确实,5
龙,5
醋,5
完,4
中,4
说,4
高,4
开,4
awsl,4
爱,4
故事,4
懂,4
笑,4
kksk,4
糟,4
五个,4
muri,4
机器,4
―,4
对不起,4
发现,4
Waku,4
枪,4
苏辰,4
嫁给,3
whl,3
hso,3
腿,3
老板,3
姐姐,3
这句,3
贴,3
suki,3
杀,3
想,3
这是,3
唱,3
爽,3
确信,3
饿,3
疯,3
汪汪,3
女王,3
好家伙,3
老龙,3
弹幕,3
233,3
狂喜,3
水母,3
好吃,3
吃饺子,3
饺子,3
吓人,3
阴间,3
害怕,3
三遍,3
憨,3
杯,3
歌词,3
开枪,3
弹孔,3
枪伤,3
烧伤,3
尸体,3
手段,2
lancer,2
www,2
没错,2
tbbt,2
骂,2
好长,2
伞,2
正片,2
空降,2
坐标,2
