word,count
 ,3740
哈哈哈,2361
鸭,1747
清歌,1473
草,1189
哈哈哈哈,1137
贝拉,913
喜欢,865
墨汐,851
罗兹,845
藻藻,828
可爱,696
awsl,658
偶像,507
好听,499
生日快乐,480
爱,477
罗总,439
伊莎贝拉,433
谢谢,389
太,387
呜呜,379
啊啊啊,348
小妹,342
哭,335
永远,323
泪目,309
笑,301
玉藻,294
神宫,286
歌姬,276
司玉藻,272
闪闪发光,267
卡,259
真的,255
哥哥,249
耶,247
swan,231
缇,221
天下第一,221
娅,218
愿,204
世界,202
死,195
说,195
梦,186
好家伙,184
拉,182
再见,179
糖,167
如歌,164
清风,163
此生,162
乌拉,161
买,161
秋色,160
大人,159
盼,159
想,156
陪伴,154
墨汐哥,149
加油,146
番茄,143
好活,142
真,140
感谢,137
＼,136
君同,135
罗,134
回来,132
吃,132
藻,131
走,128
李,121
✨,121
骂,117
听,116
别哭,116
不愧,112
女王,108
感觉,106
前程似锦,105
炒蛋,105
组,104
时刻,101
芦笋,97
棒,97
回应,96
这是,95
2333,92
正道,90
祝,89
前方,88
鸭哥,87
Hello,86
迫害,85
好看,84
​,84
高能,83
土土,83
