word,count
扇宝,808
 ,490
哈哈哈,297
好听,210
大舅妈,200
草,129
可爱,126
耶,116
泪目,116
哈哈哈哈,115
❀,92
爱,89
＼,84
鼠标,75
太,64
妙,59
铛,53
DD,53
回收,49
真的,48
瓶子,45
姐姐,43
外卖,41
唱,39
说,38
听,38
原唱,38
死,37
笑,36
这是,34
啊啊啊,34
确实,33
好家伙,32
宝,31
扇,31
女人,31
真,29
卧槽,29
旧,28
喜欢,28
捡,28
嘚,28
手机,27
感觉,27
眉毛,27
声音,27
住,27
兆,27
　,27
不错,26
路由器,26
喝,25
毕业,25
唱歌,25
做,24
蚌埠,24
土土,24
doge,23
好好,23
拉,23
迫害,22
老婆,22
不行,22
完,21
整活,21
家,21
声线,21
扇子,20
走,20
弹幕,20
买,19
娶,19
氪,18
一个月,18
封面,18
想,17
孩子,17
钱,17
回力,17
换人,17
骗,17
UP,17
加油,16
穿,16
直播,16
块,16
厉害,16
芜,16
50,16
送走,15
憨,15
yyds,15
舰长,15
水,15
分钟,15
热乎,15
聪明,15
dd,14
懂,14
头,14
