word,count
 ,23
哈哈哈,16
草,10
耶,7
说,7
哈哈哈哈,6
可爱,5
喵,5
危,4
弹幕,4
笑,4
噗,3
猫,3
穗,3
早穗,3
笨比,3
地址,3
好家伙,3
死,3
人类,2
初见,2
好听,2
真的,2
教,2
抱歉,2
方式,2
傻,2
奇怪,2
快递,2
拦截,2
改,2
一家,2
不行,2
宝宝,2
爱,2
结束,2
确实,2
不涩,2
懂,2
声音,2
咩,2
学会,2
๑,2
•,2
开幕,1
雷击,1
耳膜,1
炸裂,1
胡言乱语,1
无能,1
狂怒,1
好屑,1
表情,1
晚哥,1
搁,1
薅,1
头发,1
晚晚,1
战神,1
过分,1
康康,1
好好,1
听,1
诶,1
hhhhhh,1
单推,1
suki,1
↓,1
一脸,1
不屑,1
我来,1
视频,1
内容,1
麦克,1
太强,1
好头,1
铁,1
穗穗,1
温柔,1
挺,1
真不错,1
密密缝,1
✓,1
原形毕露,1
䟴,1
㳍,1
蓌,1
震惊,1
一整天,1
血亏,1
太,1
23333333,1
还好,1
没买,1
东西,1
顺丰,1
改不了,1
d,1
晚点,1
毛,1
