word,count
哈哈哈,1542
 ,1389
草,1336
哈哈哈哈,709
老大哥,563
盒,504
¿,220
卧槽,212
说,172
好家伙,153
确实,148
帕里,138
笑,138
saki,123
盒盒,117
淦,114
宋丹丹,110
懂,104
太,101
血压,98
危,96
死,95
喝,87
听说,85
hso,81
真的,74
真,71
龙,71
喜欢,70
doge,68
啊啊啊,68
可爱,66
不愧,64
夹,63
好听,61
听,61
不好,60
想,59
草草,58
男,56
感觉,55
吃,55
挺,54
走,54
完,51
东西,51
不对劲,51
女,51
23333,50
这是,49
爱,47
骂,47
开幕,46
耶,46
噔,46
＼,45
热水,45
直播,44
女人,43
运营,42
娘们,41
雷击,41
厉害,40
惨,40
丹丹,40
离谱,39
小时,39
憨,37
ｓ,37
ａ,37
找,36
还行,36
kksk,36
ｋ,36
ｉ,36
委屈,36
兄弟,35
标准,34
女朋友,34
辣,34
方式,33
开心,33
简单,33
好活,32
孩子,31
经典,31
市场调研,31
请,30
声音,30
瘾,30
快乐,30
日,30
老师,30
猫,30
哼哼,30
高,29
好像,29
不行,29
游戏,29
万,29
