word,count
 ,23
傻瓜蛋,10
草,9
爱,8
声音,7
吃,7
可爱,6
好听,6
喜欢,6
红烧,6
鸡翅,6
悠悠,5
本音,4
哈哈哈,4
听,4
永远,4
我要,4
芜湖,4
葫芦娃,3
老婆,3
awsl,3
破音,3
刻林悠,3
好活,3
确实,3
电,3
赏,3
老铁,3
麻辣烫,3
电击,3
枪,3
麻辣,3
cf,3
传统,2
真,2
恶心,2
害怕,2
现场,2
一转,2
攻势,2
狙,2
yoyo,2
首歌,2
单推,2
摩西,2
抱,2
走,2
说,2
憨,2
证明,2
开,2
弹幕,2
卧槽,2
完,2
噔,2
xswl,2
一出,2
阻挡,2
道具,2
嗝,2
屁,2
每日,2
一遍,2
配音,2
改,2
永别,2
肠,2
眼泪,1
流,1
想认,1
妈,1
明明,1
艺能,1
ki,1
kimo,1
how,1
big,1
it,1
is,1
不本音,1
呆呆,1
悠,1
烫手,1
傻,1
卡带,1
prprpr,1
苦到,1
舔,1
好怪,1
w,1
BGM,1
突变,1
正片,1
忍得,1
住,1
开关,1
自如,1
ju,1
吃惊,1
hhhhh,1
